Customer ID,Age,Gender,All Purchases,Email Address,Subscription Status,Payment Method
1,38,Female,9,user5124@example.com,Yes,Cash
2,38,Male,10,user5644@example.com,Yes,Debit Card
3,58,Male,6,user3202@example.com,No,Bank Transfer
4,63,Male,4,user8920@example.com,Yes,PayPal
5,59,Male,1,user8273@example.com,No,Debit Card
6,19,Male,5,user8219@example.com,No,PayPal
7,63,Female,11,user7230@example.com,Yes,Debit Card
8,63,Male,9,user1465@example.com,Yes,PayPal
9,38,Male,3,user9519@example.com,Yes,Credit Card
10,26,Female,5,user3180@example.com,No,Cash
11,31,Male,1,user5094@example.com,No,Credit Card
12,63,Male,7,user3735@example.com,No,Credit Card
13,61,Male,3,user3988@example.com,Yes,PayPal
14,54,Male,1,user9939@example.com,No,Cash
15,40,Female,25,user4193@example.com,Yes,Credit Card
16,59,Female,2,user7556@example.com,Yes,Bank Transfer
17,28,Female,7,user9988@example.com,Yes,PayPal
18,68,Male,11,user9634@example.com,Yes,Debit Card
19,58,Male,5,user2496@example.com,No,PayPal
20,19,Male,3,user1564@example.com,No,Cash
21,63,Male,7,user5350@example.com,No,PayPal
22,37,Male,4,user9680@example.com,Yes,Bank Transfer
23,40,Female,3,user7041@example.com,No,Debit Card
24,22,Male,6,user5651@example.com,Yes,Cash
25,45,Female,2,user4516@example.com,No,Debit Card
26,57,Male,2,user5541@example.com,No,Credit Card
27,47,Female,5,user4533@example.com,Yes,PayPal
28,44,Male,6,user2063@example.com,No,Credit Card
29,60,Male,3,user4399@example.com,No,PayPal
30,47,Female,11,user1615@example.com,No,Debit Card
31,56,Female,12,user4917@example.com,No,Bank Transfer
32,18,Male,3,user7578@example.com,Yes,Cash
33,19,Male,21,user5487@example.com,Yes,Debit Card
34,28,Male,2,user7691@example.com,Yes,PayPal
35,69,Female,5,user3373@example.com,No,PayPal
36,62,Male,2,user5317@example.com,Yes,Debit Card
37,19,Male,7,user2228@example.com,No,Bank Transfer
38,49,Female,4,user5960@example.com,No,Cash
39,38,Female,2,user2977@example.com,No,Bank Transfer
40,58,Female,7,user6210@example.com,Yes,Credit Card
41,41,Male,2,user9713@example.com,Yes,PayPal
42,26,Female,1,user9380@example.com,No,Bank Transfer
43,19,Female,23,user2368@example.com,No,Debit Card
44,44,Female,11,user1071@example.com,No,Debit Card
45,51,Male,3,user7705@example.com,Yes,Debit Card
46,53,Female,1,user9282@example.com,Yes,Bank Transfer
47,33,Female,5,user9375@example.com,No,Bank Transfer
48,47,Female,3,user6947@example.com,Yes,Debit Card
49,26,Female,41,user3201@example.com,Yes,Credit Card
50,68,Male,4,user1184@example.com,Yes,Debit Card
51,28,Female,4,user6675@example.com,Yes,Credit Card
52,68,Female,9,user8101@example.com,No,PayPal
53,51,Female,3,user7937@example.com,Yes,Cash
54,20,Female,4,user7029@example.com,No,Credit Card
55,63,Male,8,user3291@example.com,No,Cash
56,43,Male,9,user8348@example.com,No,Debit Card
57,37,Female,3,user1945@example.com,Yes,Debit Card
58,48,Male,6,user2602@example.com,No,Debit Card
59,20,Male,2,user7769@example.com,No,PayPal
60,54,Male,6,user3671@example.com,No,Credit Card
61,39,Female,6,user6938@example.com,No,Bank Transfer
62,57,Male,1,user2722@example.com,Yes,Cash
63,61,Male,5,user9440@example.com,No,PayPal
64,27,Female,14,user9565@example.com,No,Debit Card
65,39,Female,4,user4043@example.com,Yes,PayPal
66,39,Male,3,user3344@example.com,No,Bank Transfer
67,30,Female,21,user1394@example.com,No,Debit Card
68,58,Male,2,user8940@example.com,Yes,Debit Card
69,55,Female,12,user2078@example.com,No,Bank Transfer
70,36,Male,3,user9130@example.com,Yes,PayPal
71,45,Male,1,user1886@example.com,No,Cash
72,24,Male,1,user6563@example.com,Yes,Cash
73,61,Male,1,user5667@example.com,No,PayPal
74,57,Female,7,user9263@example.com,No,Cash
75,25,Male,1,user8691@example.com,No,Debit Card
76,60,Male,15,user1893@example.com,Yes,PayPal
77,28,Male,6,user1086@example.com,Yes,Cash
78,22,Male,1,user1370@example.com,No,PayPal
79,40,Female,12,user1601@example.com,Yes,PayPal
80,33,Female,3,user2472@example.com,No,Bank Transfer
81,64,Male,8,user8257@example.com,No,Debit Card
82,22,Female,10,user5153@example.com,Yes,Bank Transfer
83,44,Male,9,user1480@example.com,Yes,PayPal
84,56,Female,4,user1519@example.com,Yes,Credit Card
85,34,Male,1,user2446@example.com,Yes,PayPal
86,22,Male,14,user3629@example.com,No,PayPal
87,26,Female,4,user1826@example.com,No,Bank Transfer
88,45,Male,6,user5230@example.com,Yes,PayPal
89,65,Female,1,user4468@example.com,Yes,Credit Card
90,63,Male,1,user2091@example.com,Yes,Debit Card
91,35,Male,5,user5543@example.com,No,Cash
92,37,Female,1,user5605@example.com,Yes,PayPal
93,31,Female,1,user5511@example.com,No,PayPal
94,55,Male,13,user7041@example.com,No,Bank Transfer
95,32,Male,2,user5037@example.com,Yes,Credit Card
96,21,Male,5,user1854@example.com,Yes,Debit Card
97,22,Female,1,user5582@example.com,Yes,Bank Transfer
98,41,Male,1,user9593@example.com,Yes,Cash
99,34,Female,9,user5727@example.com,Yes,Bank Transfer
100,19,Female,12,user4563@example.com,No,Cash
101,47,Female,1,user5474@example.com,Yes,PayPal
102,59,Female,4,user7842@example.com,Yes,Bank Transfer
103,47,Female,4,user1163@example.com,Yes,Debit Card
104,28,Female,3,user2229@example.com,No,Cash
105,69,Female,2,user5121@example.com,No,PayPal
106,39,Male,2,user6633@example.com,No,Bank Transfer
107,35,Male,27,user4122@example.com,No,Bank Transfer
108,32,Female,6,user3329@example.com,Yes,Credit Card
109,48,Male,5,user1960@example.com,Yes,Credit Card
110,24,Female,8,user5010@example.com,No,Debit Card
111,37,Female,1,user4752@example.com,No,Credit Card
112,47,Female,8,user8643@example.com,Yes,Cash
113,38,Female,9,user5666@example.com,No,PayPal
114,19,Male,3,user4520@example.com,No,Credit Card
115,45,Female,2,user4315@example.com,No,Credit Card
116,29,Male,3,user9222@example.com,Yes,PayPal
117,51,Male,1,user1447@example.com,No,Credit Card
118,49,Female,1,user4358@example.com,Yes,Debit Card
119,56,Female,10,user9155@example.com,Yes,Bank Transfer
120,62,Female,7,user2502@example.com,No,PayPal
121,55,Male,8,user4897@example.com,Yes,Credit Card
122,37,Male,3,user2522@example.com,Yes,PayPal
123,68,Female,8,user2872@example.com,Yes,Debit Card
124,57,Male,7,user1071@example.com,Yes,Credit Card
125,47,Male,38,user9925@example.com,No,Debit Card
126,20,Male,2,user9463@example.com,No,Debit Card
127,66,Female,6,user7117@example.com,No,Credit Card
128,63,Female,1,user2394@example.com,No,PayPal
129,50,Male,1,user5019@example.com,No,PayPal
130,51,Female,6,user6577@example.com,Yes,PayPal
131,68,Female,3,user2468@example.com,Yes,Debit Card
132,58,Male,9,user7839@example.com,Yes,Bank Transfer
133,36,Male,4,user2175@example.com,No,Debit Card
134,19,Male,2,user9262@example.com,Yes,Bank Transfer
135,36,Male,4,user9917@example.com,Yes,PayPal
136,26,Female,1,user2668@example.com,No,Cash
137,26,Male,3,user7796@example.com,Yes,Cash
138,32,Female,15,user9449@example.com,No,Credit Card
139,42,Male,6,user4469@example.com,No,Debit Card
140,48,Female,4,user9204@example.com,Yes,Bank Transfer
141,37,Male,4,user5943@example.com,Yes,Bank Transfer
142,29,Male,4,user3149@example.com,Yes,Cash
143,69,Male,5,user4116@example.com,No,Bank Transfer
144,47,Female,3,user1319@example.com,No,PayPal
145,29,Male,4,user9083@example.com,No,Debit Card
146,56,Male,19,user5037@example.com,No,Cash
147,52,Male,1,user7919@example.com,No,Cash
148,36,Female,6,user6272@example.com,Yes,Credit Card
149,63,Female,4,user4157@example.com,Yes,Cash
150,50,Female,1,user6073@example.com,No,Bank Transfer
151,65,Female,1,user2533@example.com,No,Cash
152,58,Male,4,user2703@example.com,Yes,Credit Card
153,63,Male,6,user3439@example.com,Yes,Cash
154,36,Male,4,user2672@example.com,No,Debit Card
155,51,Male,2,user2445@example.com,No,Credit Card
156,33,Female,1,user2819@example.com,No,Bank Transfer
157,59,Male,32,user5768@example.com,Yes,Debit Card
158,35,Male,1,user9719@example.com,No,Bank Transfer
159,48,Female,2,user1788@example.com,No,Credit Card
160,25,Male,3,user9524@example.com,Yes,PayPal
161,66,Female,1,user5686@example.com,No,Cash
162,36,Female,6,user1691@example.com,Yes,Bank Transfer
163,40,Female,3,user9382@example.com,No,Cash
164,65,Female,4,user7580@example.com,Yes,PayPal
165,44,Female,6,user1986@example.com,Yes,Cash
166,32,Female,1,user5965@example.com,Yes,Debit Card
167,44,Female,5,user1939@example.com,Yes,Bank Transfer
168,48,Male,49,user8207@example.com,Yes,Cash
169,59,Female,1,user5112@example.com,Yes,PayPal
170,37,Male,11,user8532@example.com,Yes,Bank Transfer
171,30,Female,8,user3858@example.com,Yes,Credit Card
172,27,Female,6,user6353@example.com,Yes,Credit Card
173,54,Female,27,user5646@example.com,Yes,Bank Transfer
174,18,Male,12,user1283@example.com,No,Debit Card
175,64,Male,1,user7823@example.com,No,Debit Card
176,53,Male,1,user9881@example.com,No,Credit Card
